State n. |  orientation | Speed | Steer | location(x,y) |NearPoint  | distance |controlerlocation 
[60.0, 7.5]  |   28.197306602660078  |[31.913738250732422, 4.9999998807907104] |[60.0, 7.5] | 27.072329101562502 | [30.  37.5 45.  52.5 60. ] | [60.0, 7.5]
73    |-0.8190174122619132   | 22.168766802654606  |3.6000287532806396   |[12.12633991241455, 82.88311958312988]  |[90.0, 7.5]  |   8.199311404604753  |[83.3099193572998, 12.240414381027222] |[60.0, 7.499999999999998] | 6.180530601708727 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
74    |-1.0710572900449469   | 22.073323577531166  |4.200035929679871   |[12.240414381027222, 83.3099193572998]  |[90.0, 7.5]  |   7.945717915510498  |[83.72754669189453, 12.377577543258667] |[60.0, 7.499999999999998] | 6.148289845648228 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
75    |-1.3950215001497517   | 21.95817802017224  |4.200047850608826   |[12.377577543258667, 83.72754669189453]  |[90.0, 7.5]  |   7.728904947218513  |[84.13597297668457, 12.534794807434082] |[60.0, 7.499999999999998] | 6.120586669004509 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
76    |-1.7135549112989983   | 21.85923810358753  |4.200061559677124   |[12.534794807434082, 84.13597297668457]  |[90.0, 7.5]  |   7.551047420494954  |[84.53465843200684, 12.710408687591553] |[60.0, 7.499999999999998] | 6.092223605134826 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
77    |-2.0440058798146046   | 21.757941446910092  |4.200077652931213   |[12.710408687591553, 84.53465843200684]  |[90.0, 7.5]  |   7.415053408596739  |[84.92297172546387, 12.904331684112549] |[60.0, 7.499999999999998] | 6.0694589744473655 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
78    |-2.399678655744977   | 21.676639194454875  |4.200094044208527   |[12.904331684112549, 84.92297172546387]  |[90.0, 7.5]  |   7.323575074050311  |[85.3000373840332, 13.11650276184082] |[60.0, 7.499999999999998] | 6.049848851162479 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
79    |-2.9155148917634355   | 21.606603039865995  |4.2001137137413025   |[13.11650276184082, 85.3000373840332]  |[90.0, 7.5]  |   7.278579039809306  |[85.66492462158203, 13.346779823303223] |[60.0, 7.499999999999998] | 6.0329691244443335 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
80    |-3.2899871591650216   | 21.546318301586904  |4.200133383274078   |[13.346779823303223, 85.66492462158203]  |[90.0, 7.5]  |   7.2811006438832715  |[86.01667213439941, 13.594877004623413] |[60.0, 7.499999999999998] | 6.018308407090824 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
81    |-3.6566388794424105   | 21.493958596752943  |4.200154542922974   |[13.594877004623413, 86.01667213439941]  |[90.0, 7.5]  |   7.3311323806365944  |[86.35431480407715, 13.860383749008179] |[60.0, 7.499999999999998] | 6.005461422281821 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
82    |-4.039323751663786   | 21.448076508149356  |3.6001765727996826   |[13.860383749008179, 86.35431480407715]  |[90.0, 7.5]  |   7.417374350242279  |[86.68542671203613, 14.135589361190796] |[60.0, 7.499999999999998] | 6.021448438083232 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
