State n. | Speed | Steer | location(x,y) | AngularSpeed | time 
96    |24.128032758736328   |0.17083164304494858   |[3.835273504257202, 97.41382217407227]  |0.07578389346599579  |0.06447792053222656     
97    |24.127421408365077   |0.18829531967639923   |[3.8169512152671814, 97.8960189819336]  |-0.11642449349164963  |0.062124013900756836     
98    |24.126147076399292   |0.20526111125946045   |[3.800278961658478, 98.37825775146484]  |-0.06214754283428192  |0.06407546997070312     
99    |24.126104583065157   |0.14584697782993317   |[3.7848079204559326, 98.86053085327148]  |-0.1132616251707077  |0.06370043754577637     
100    |24.126232744642337   |0.10545417666435242   |[3.7690330147743225, 99.3427963256836]  |-0.0651606097817421  |0.06447005271911621     
101    |24.126530830298634   |0.04205286502838135   |[3.752976417541504, 99.8250617980957]  |-0.06630256772041321  |0.09141874313354492     
102    |24.126699527497394   |-0.0038798153400421143   |[3.7360419631004333, 100.30730056762695]  |-0.025936681777238846  |0.06728458404541016     
103    |24.126750968758486   |-0.06480593234300613   |[3.7182779908180237, 100.78950881958008]  |-0.010332642123103142  |0.06353569030761719     
104    |24.126604048726048   |-0.09871676564216614   |[3.6991702914237976, 101.27166366577148]  |0.029598549008369446  |0.11194419860839844     
105    |24.126365332030304   |-0.12706752866506577   |[3.6789665818214417, 101.75376892089844]  |0.04374952241778374  |0.06455874443054199     
106    |24.12610995491133   |-0.12898962944746017   |[3.657648801803589, 102.2358226776123]  |0.0663158968091011  |0.06348514556884766     
107    |24.12597627809462   |-0.13574164360761642   |[3.635627865791321, 102.71783638000488]  |0.06730607151985168  |0.06293606758117676     
108    |24.12586061800067   |-0.13365667313337326   |[3.612792670726776, 103.1998119354248]  |0.07959835976362228  |0.06311488151550293     
109    |24.1257771828128   |-0.1325344666838646   |[3.5892454385757446, 103.68175506591797]  |0.07990452647209167  |0.06287240982055664     
110    |24.125731346135677   |-0.12662582099437714   |[3.5649526715278625, 104.16366195678711]  |0.08461388200521469  |0.06312108039855957     
111    |24.125712898968622   |-0.12192986905574799   |[3.5399871468544006, 104.6455307006836]  |0.08298927545547485  |0.06363177299499512     
112    |24.125715254858996   |0.15815116465091705   |[3.5143322944641113, 105.12735939025879]  |0.08476012200117111  |0.06287574768066406     
113    |24.12530997524623   |0.17606496810913086   |[3.4941750168800354, 105.60944557189941]  |-0.10991431027650833  |0.06287765502929688     
114    |24.12407367924218   |0.19414544105529785   |[3.475614607334137, 106.09157180786133]  |-0.05424848198890686  |0.10588312149047852     
115    |24.124038111747808   |0.13460395857691765   |[3.45820814371109, 106.57374000549316]  |-0.10624804347753525  |0.07002735137939453     
116    |24.12415800342712   |0.08049789816141129   |[3.440428078174591, 107.0558967590332]  |-0.05742755904793739  |0.06339287757873535     
117    |24.124500290490648   |0.012945644557476044   |[3.4219841957092285, 107.53803443908691]  |-0.04903004691004753  |0.06390190124511719     
118    |24.124599836093147   |-0.03193315118551254   |[3.402396261692047, 108.02012825012207]  |-0.008804688230156898  |0.06329345703125     
119    |24.124552218801867   |-0.07572755217552185   |[3.381825566291809, 108.50218200683594]  |0.007368674501776695  |0.06171250343322754     
120    |24.124389122303537   |-0.10406944900751114   |[3.360127806663513, 108.98418235778809]  |0.0360543429851532  |0.07828569412231445     
121    |24.12416979382861   |-0.12729015201330185   |[3.3374067544937134, 109.46612930297852]  |0.05088970437645912  |0.06572818756103516     
122    |24.123945562733525   |-0.13538256287574768   |[3.3136348724365234, 109.94801902770996]  |0.0688910260796547  |0.06186723709106445     
123    |24.123778477834584   |-0.14117535203695297   |[3.288998544216156, 110.42986679077148]  |0.07520563155412674  |0.06380414962768555     
124    |24.123653018083683   |-0.1416485756635666   |[3.2634950280189514, 110.91166496276855]  |0.08409443497657776  |0.061794281005859375     
125    |24.123565229513186   |-0.13943936675786972   |[3.2371723651885986, 111.39341735839844]  |0.08725087344646454  |0.06380844116210938     
126    |24.123517713443814   |-0.13555388897657394   |[3.2100597620010376, 111.87512397766113]  |0.08982808887958527  |0.1116478443145752     
127    |24.123487724424415   |0.15879880636930466   |[3.182174414396286, 112.35678482055664]  |0.09148077666759491  |0.0634453296661377     
